item,stratum,proposed_label,has_error,entropy,model_label,gt_label,proposed_because,final_label,notes,coder_confidence,coded_by
75,likely_scoring_artifact,extraction_issue,True,0.5004024235381879,sympy:p,sympy:r,ground-truth label degenerated to a bare symbol: 'sympy:r',extraction_issue,both labels are bare symbols from prose (sympy:p vs sympy:r),high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
126,likely_scoring_artifact,extraction_issue,True,1.3321790402101223,<parse_failure>,"sympy:eq(y/4-7,3)",majority sample failed to parse,extraction_issue,"model label empty; truth eq(y/4-7,3)",high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
148,likely_scoring_artifact,extraction_issue,True,0.6730116670092565,"text:therefore,301isnotatermofthegivenlistofnumbers",sympy:n,ground-truth label degenerated to a bare symbol: 'sympy:n',extraction_issue,truth degenerated to sympy:n from prose,high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
269,likely_scoring_artifact,extraction_issue,True,1.3321790402101223,"sympy:eq(x,49/29)",sympy:x,ground-truth label degenerated to a bare symbol: 'sympy:x',extraction_issue,truth degenerated to sympy:x,high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
55,low_entropy_wrong,notation_misread,True,0.5004024235381879,"sympy:eq(tan(x+y),(tan(x)+tan(y))/(1-tan(x)*tan(y)))","sympy:eq(tan(x+y),(tan(x)+tan(y))/(tan(x)*tan(y)+1))",labels are 96% similar -- small symbolic difference,copied_wrong_line,"page derivation ends 1-tanx tany; the Answer LINE carries the injected 1+. Model transcribed the derivation, not the answer -- NOT prior-driven auto-correction",medium,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
160,low_entropy_wrong,notation_misread,False,0.5004024235381879,"sympy:eq(x,5)","sympy:eq(z,5)",labels are 86% similar -- small symbolic difference,notation_misread,"x vs z, visually similar in this hand",medium,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
161,low_entropy_wrong,needs_visual,True,0.5004024235381879,"\{(x,y,z):x,y,z\inr\}","\{(x,y,x):x,y,x\in\mathbbr\}",labels differ substantially (69% similar),notation_misread,"page condition repeats x ({(x,y,x)}); model wrote z. Model normalised FERMAT's internal inconsistency",medium,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
173,low_entropy_wrong,needs_visual,True,0.5004024235381879,"sympy:eq(2*x,10)",text:optiond,labels differ substantially (0% similar),extraction_issue,"MCQ: truth is text:optiond, model gave the equation",high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
185,low_entropy_wrong,notation_misread,True,0.5004024235381879,sympy:30*(a*c)+(40*(b*c)+(24*(a*b)+(25*c**2+(9*a**2+16*b**2)))),sympy:30*(a*c)+(40*(b*c)+(24*(a*b)+(24*c**2+(9*a**2+16*b**2)))),labels are 98% similar -- small symbolic difference,notation_misread,24c^2 on the page read as 25c^2,high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
265,low_entropy_wrong,needs_visual,False,0.6730116670092565,"sympy:eq(y,13)",sympy:13,labels differ substantially (40% similar),extraction_issue,"model eq(y,13) vs truth 13 -- both correct",high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
274,low_entropy_wrong,extraction_issue,False,0.5004024235381879,"sympy:eq(p(e*(cap*f)),p(e)*p(f))",sympy:f,ground-truth label degenerated to a bare symbol: 'sympy:f',extraction_issue,truth degenerated to sympy:f,high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
277,low_entropy_wrong,needs_visual,True,0.6730116670092565,3\sqrt3,3\sqrt3units,labels differ substantially (74% similar),extraction_issue,3\sqrt3 vs 3\sqrt3units -- unit dropped,high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
52,max_entropy_wrong,notation_misread,False,1.6094379124341005,588.732cm^3,5887.32cm^3,labels are 91% similar -- small symbolic difference,notation_misread,"5887.32 read as 588.732, decimal place",high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
65,max_entropy_wrong,extraction_issue,False,1.6094379124341005,<parse_failure>,"sympy:eq(y,4000)",majority sample failed to parse,extraction_issue,model label empty,high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
101,max_entropy_wrong,needs_visual,True,1.6094379124341005,"20,000(wetreatthisastheprincipalforthe1styear)","text:so,theestimatedpopulationis23152.5squaremeters",labels differ substantially (22% similar),copied_wrong_line,"model transcribed the 'principal for the 1st year' line, not the conclusion",high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
107,max_entropy_wrong,notation_misread,False,1.6094379124341005,"text:interestingly,thenumber392isalsodivisibleby11and98,butthisfactdoesnotaffectwhetheritisaperfectcube","text:interestingly,thenumber392isalsodivisibleby4and98,butthisfactdoesnotaffectwhetheritisaperfectcube",labels are 98% similar -- small symbolic difference,extraction_issue,both labels are the same prose sentence; not an answer span,medium,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
175,max_entropy_wrong,notation_misread,False,1.6094379124341005,\begin{bmatrix}-15\frac36\end{bmatrix},\begin{bmatrix}-153560\end{bmatrix},labels are 90% similar -- small symbolic difference,notation_misread,matrix elements differ,medium,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
202,max_entropy_wrong,extraction_issue,False,1.6094379124341005,"text:therefore,thefunctionfisincreasingonr",sympy:mathbb*r,ground-truth label is SymPy-parsed prose: 'sympy:mathbb*r',extraction_issue,truth degenerated to sympy:mathbb*r,high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
240,max_entropy_wrong,copied_wrong_line,True,1.6094379124341005,\pm3,"sympy:eq((3*k)/2,pm*3)",model answer appears in an earlier ground-truth line (#10): '\\end{vmatrix}=\\pm3',needs_visual,"model \pm3 vs truth eq(3k/2,pm*3) -- cannot tell from OCR",low,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
255,max_entropy_wrong,needs_visual,True,1.6094379124341005,text:86<f<95,sympy:94**circ,labels differ substantially (13% similar),notation_misread,page says 91-94 degF; model said 86,medium,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
14,needs_visual,needs_visual,False,0.9502705392332347,text:①,4.5,labels differ substantially (0% similar),extraction_issue,"MCQ; model emitted a circled glyph, truth 4.5 -- option handling",high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
54,needs_visual,needs_visual,True,0.9502705392332347,"text:therefore,243isnotaperfectcube",sympy:243,labels differ substantially (18% similar),extraction_issue,model prose sentence vs truth sympy:243,high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
144,needs_visual,needs_visual,False,1.0549201679861442,text:themodeofthisdatais2becauseitoccursmorefrequentlythanotherobservations,sympy:2,labels differ substantially (3% similar),extraction_issue,model prose sentence vs truth sympy:2,high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
151,needs_visual,needs_visual,False,1.3321790402101223,"sympy:eq(15/2,(q+8)/2)","sympy:eq(q,7)",labels differ substantially (43% similar),copied_wrong_line,model transcribed the intermediate midpoint equation,high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
167,needs_visual,needs_visual,True,1.3321790402101223,i,\fraci{-(-1)},labels differ substantially (14% similar),extraction_issue,model 'i' vs truth a fragment -- both degenerate,high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
220,needs_visual,needs_visual,True,1.6094379124341005,"text:\{(x,y,z):(x,y,z\inr)\}","\{(x,y,z):x,y,z\in\mathbbr\}",labels differ substantially (54% similar),notation_misread,"near-identical set-builder, small symbol difference",medium,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
228,needs_visual,needs_visual,False,1.6094379124341005,-6,4,labels differ substantially (0% similar),needs_visual,model -6 vs truth 4; derivation is heavily garbled in OCR,low,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
67,unanimous_wrong,needs_visual,True,0.0,-2,"sympy:eq(a,3/2)",labels differ substantially (18% similar),copied_wrong_line,model gave d=-2; truth a=3/2 -- both appear on the page,high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
176,unanimous_wrong,needs_visual,True,0.0,"sympy:eq(x,4)",4,labels differ substantially (25% similar),extraction_issue,"model eq(x,4) vs truth 4 -- both correct",high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
208,unanimous_wrong,notation_misread,False,0.0,"sympy:eq(3*x**2,-4*y)","sympy:eq(x**2,-4*y/3)",labels are 87% similar -- small symbolic difference,extraction_issue,3x^2=-4y and x^2=-4y/3 VERIFIED mathematically identical,high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
218,unanimous_wrong,extraction_issue,True,0.0,text:optiona,sympy:a,ground-truth label degenerated to a bare symbol: 'sympy:a',extraction_issue,model 'option a' correct; truth mangled to sympy:a by _OPTION_RE,high,"claude-opus-5 (Drive OCR of audit_p1-4.png), 2026-08-11"
