item_id,has_error,strict_v1_correct,strict_v2_correct,answer_type,question_type_if_available,entropy,parse_failed,max_entropy,span_m_disp,span_t_disp,label_m,label_t,human_label_if_available,human_truth_if_available,extraction_status_if_available,error_location_if_available,error_type_if_available,image_path_if_available,n_red_spans,red_spans_approx_only,answer_type_either_side,truth_span_len,model_span_len,answer_shape,truth_span_bucket,mcq_vs_open
0,False,False,False,single_expression,free_response,1.0549201679861442,False,False,"Hence, the required number of words is 24",4 \times 3 \times 2 \times 1 = 24,sympy:h*(e*(n*(c*e))),text:4 \times 3 \times 2 \times 1 = 24,,,,,,,1,"Additionally, if we consider the factorial function, \(n!\),",multi_value,33,41,simple_value,long_31-100,free_response
1,False,False,False,text_conclusion,free_response,1.6094379124341005,False,True,(-j)(2j)\left(\frac{-1}{8}i\right)^3 = 2 \times \frac{1}{8 \times 8 \times 8} \times i^5 = \frac{1}{256}(j^2)^2 = \frac{1}{256}j,\left( -\textcolor{red}{j} \right) \left( 2\textcolor{red}{j} \right) \left( \frac{-1}{8} \textcolor{red}{j} \right)^3 = 2 \times \frac{1}{8 \times 8 \times 8} \times \textcolor{red}{j}^5 = \frac{1}{256} (\textcolor{red}{j}^2)^2 = \frac{1}{256} \textcolor{red}{j},text:(-j)(2j)(\frac{-1}{8}i)^3 = 2 \times \frac{1}{8 \times 8 \times 8} \times i^5 = \frac{1}{256}(j^2)^2 = \frac{1}{256}j,text:( -j ) ( 2j ) ( \frac{-1}{8} j )^3 = 2 \times \frac{1}{8 \times 8 \times 8} \times j^5 = \frac{1}{256} (j^2)^2 = \frac{1}{256} j,,,,,,,10,j | j | j,text_conclusion,263,128,structured_or_prose,very_long_>100,free_response
2,True,True,False,text_conclusion,free_response,1.3321790402101223,False,False,40^\circ 20' = \frac{1210}{540} \text{ radians}.,40^\circ 20' = \frac{121\textcolor{red}{\theta}}{540} \text{ radian}.,sympy:40**circ*20,sympy:40**circ*20,true_correct,correct,extraction_ok,,,,2,\theta | \theta,text_conclusion,69,48,structured_or_prose,long_31-100,free_response
3,False,True,True,mcq_option,mcq,0.9502705392332348,False,False,option a,option a,text:option a,text:option a,,,,,,,2,"To solve this equation, we can divide both sides by 4 as fol | \frac{4x}{4} = \frac{200}{4}",mcq_option,8,8,simple_value,short_4-10,mcq
4,False,True,True,single_expression,free_response,1.0549201679861442,False,False,y^{(3)},y^{(3)},sympy:y**3,sympy:y**3,extraction_issue,indeterminate,,,,,3,"To elaborate, consider the function \( y = e^x \), then \( \ | In general, second-order derivatives can be found using tech | It is important to note that higher-order derivatives can of",numeric_or_expression,7,7,simple_value,short_4-10,free_response
5,True,True,True,mcq_option,mcq,0.0,False,False,option a,option a,text:option a,text:option a,needs_visual,indeterminate,,,,,1,231444,mcq_option,8,8,simple_value,short_4-10,mcq
6,True,True,True,mcq_option,mcq,0.0,False,False,option a,option a,text:option a,text:option a,true_correct,correct,,,,,1,"\[
\Rightarrow a + b = 2.
\]",mcq_option,8,8,simple_value,short_4-10,mcq
7,False,True,True,single_expression,free_response,0.6730116670092565,False,False,\Delta,\Delta,sympy:delta,sympy:delta,extraction_issue,indeterminate,,,,,0,,numeric_or_expression,6,6,simple_value,short_4-10,free_response
8,True,False,False,mcq_option,mcq,1.6094379124341005,False,True,"\begin{aligned}
& \frac{4}{15}A = \frac{2}{5}B \\
& \Rightarrow A = \left(\frac{2}{5} \times \frac{15}{4}\right)B \\
& \Rightarrow A = \frac{8}{4}B \\
& \Rightarrow \frac{A}{B} = \frac{8}{4} \\
& \therefore A : B = 8 : 4 \\
& B's \ Share = Rs. \quad \left(1210 \times \frac{4}{15}\right) = Rs. 403.33
\end{aligned}",option b,text:\begin{aligned} \frac{4}{15}a = \frac{2}{5}b \rightarrow a = (\frac{2}{5} \times \frac{15}{4})b \rightarrow a = \frac{8}{4}b \rightarrow \frac{a}{b} = \frac{8}{4} \therefore a : b = 8 : 4 b's \ share = rs. (1210 \times \frac{4}{15}) = rs. 403.33 \end{aligned},text:option b,extraction_issue,indeterminate,,,,,7,\frac{8}{4} | 8 | 8,mcq_option,8,314,simple_value,short_4-10,mcq
9,False,False,True,set_answer,free_response,1.3321790402101223,False,False,"(x, z) \in R","(\textcolor{red}{x, z}) \in R","text:(x, z) \in r","text:(x, z) \in r",true_correct,correct,extraction_ok,,,,24,x | x | x,set_answer,29,12,structured_or_prose,medium_11-30,free_response
