item,final_label,confidence,note
8,extraction_issue,medium,"Truth is Option B, model gives value 403.33 -- value-vs-option-key mismatch, same pattern as 25/93/173 in only_qwen."
14,extraction_issue,high,"Image says Option D, final value 4.5; model label became a stray glyph. Known _OPTION_RE case (LaTeX-wrapped option letter)."
35,extraction_issue,high,"Model gives centre (-4,-5); truth label kept only radius 7. Page answer states both, parser compared partial pieces."
39,extraction_issue,medium,Both labels degenerate; image final answers are expressions the parser failed on.
40,extraction_issue,high,"Model parse failure; image final answer is y = 7. Generation/parser failure, not a misread."
45,needs_visual,medium,"Image rotated/blurry, could not be read confidently."
55,notation_misread,high,"HUMAN FINAL: page has 1 + tan x tan y, model wrote 1 - . VERIFIED across both models: pert_a is 84 chars, plus-form once, minus-form ZERO times; the minus exists only in orig_q's derivation. Qwen 4/5 samples and Pixtral 4/5 samples wrote the minus, but Pixtral s0 wrote the PLUS faithfully -- proving the page's plus is legible. So copied_wrong_line (coded_31) is factually wrong: there is no minus line on the page to copy. Label kept as notation_misread; mechanism is closer to a prior overriding the image."
56,extraction_issue,high,"Model 95F, truth 95F -- same value, scorer formatting mismatch."
59,notation_misread,medium,Vector/conjugate notation misread; not a clean extraction match.
60,notation_misread,high,"Model says 776, truth 7776 -- a dropped digit, a real misread."
67,extraction_issue,high,"Model captured d = -2, truth key is a = 3/2. Verified both sit on the SAME page line ('Here, a = 3/2, quad d = ... = -2'), so the extractor split one line rather than the model picking a different one -- incomplete answer, not copied_wrong_line. Supersedes coded_31."
71,extraction_issue,high,Model grabbed pi ~ 3.14159 from an aside; truth final derivative is 1. Parser picked the wrong span.
75,extraction_issue,high,"Model extracted p, truth r; page conclusion is about collinearity and both labels are bare symbols from prose."
81,extraction_issue,high,Image final answer is 40pi cm^2/s and the model says 40pi cm^2/s -- model correct. The GROUND-TRUTH parser selected the intermediate r = 10 cm instead.
82,extraction_issue,high,"Model 0.488, truth 0.488000... -- same value, float formatting."
83,needs_visual,medium,"Bad handwriting, could not be read."
94,notation_misread,high,Model 5^n + 6^n vs truth 5*n + 6**n -- exponent vs product misread.
95,true_correct,high,"RECODED 2026-08-13 (was needs_visual, 'bad handwriting, could not be read'): the model span (2x - y + z)(2x - y + z) and the truth span (2x - y + z)^2 are equivalent, and the handwritten final answer is correct on a second read. The truth span is itself damaged -- \textcolor{red}{(2x - y + z(2x - y + z)} is missing a closing paren -- which is why label T fell to the text tier and the comparison failed. strict_v1 says WRONG, so this is a FALSE FAIL (FN), not a TP."
103,notation_misread,medium,Model output does not match the set/equation answer.
108,notation_misread,medium,Model equation coefficients do not match truth. (Also the item Math-Verify wrongly accepts -- y^2/(9/4) vs y^2/(11/4).)
126,needs_visual,medium,"Model failed to parse/give an answer. No parse_failure label exists, so recorded as needs_visual. Supersedes coded_31's extraction_issue. Note: s3 did emit eq(y/4-7,3), matching truth, while s0 and s2 parse-failed."
136,extraction_issue,high,"Model 90000, truth 90000 -- same value, formatting."
142,extraction_issue,medium,Model parse failed; page final expression is present. Recorded as extraction_issue since no parse_failure label exists.
144,extraction_issue,high,"Model says the mode is 2, truth is 2 -- scorer compared surrounding prose."
145,extraction_issue,high,Both mean 10pi; units/format differ.
148,extraction_issue,high,"Model says '301 is not a term', which is correct; truth parser kept only n."
149,notation_misread,high,Model says 1 degree where image/truth says 0 for the x-axis direction cosine -- real value mismatch.
151,extraction_issue,medium,"HUMAN FINAL: equivalent equation forms leading to q = 7. CONTRADICTS coded_31's copied_wrong_line. String evidence favours the older label -- the majority sample eq(15/2,(q+8)/2) is verbatim an earlier line of pert_a, while s0 and s3 gave q=7 correctly. Flagged for re-check."
152,notation_misread,high,"User-corrected from extraction_issue: image final is 10/sqrt(59), model gave sqrt(59) -- missed the factor 10."
156,extraction_issue,medium,Model and truth compare different parts of the proof; parser grabbed a distance term rather than the conclusion.
160,notation_misread,high,Model wrote x = 5 where image says z = 5.
161,notation_misread,high,"Model wrote (x,y,z) where the page repeats x as (x,y,x). The model normalised FERMAT's own internal inconsistency."
162,extraction_issue,high,Both represent x e^x - e^x + C; formatting only.
166,extraction_issue,high,Model parser produced a*b; truth is the final matrix. Parser failed to capture matrix output.
167,extraction_issue,medium,Model 'i' vs a truth fragment around a complex number; both labels degenerate.
170,extraction_issue,high,Model says (iv) matches (b); truth parser kept only b. Same meaning.
175,notation_misread,high,Matrix entries differ / model matrix malformed.
177,extraction_issue,high,"Model says 5^2, truth 25 -- equivalent."
184,extraction_issue,high,Model matched the final amount 13000; the ground-truth parser selected the interest 1500 instead.
185,notation_misread,medium,Expanded algebraic terms differ -- 24c^2 on the page read as 25c^2.
187,extraction_issue,high,Same set of names; brace/comma formatting only.
188,extraction_issue,medium,Truth and image both appear to give beta_2 = 5/2 i + 1/2 j - 3k; the model label is parser-mangled/truncated. Not confidently a notation error.
199,extraction_issue,high,"Model 7, truth 7 -- same answer, label mismatch."
203,extraction_issue,high,Model gives roots 8 and 5; truth parser kept r = 8 only. Partial extraction.
208,extraction_issue,high,3x^2 = -4y and x^2 = -4y/3 are equivalent forms; SymPy does not normalise an equation scaled by a constant.
211,extraction_issue,high,"Same vector; i,j formatting differs."
212,notation_misread,medium,Model expression differs from the truth identity -- likely exponent/subscript/term error.
