item,stratum,proposed_label,has_error,entropy,model_label,gt_label,proposed_because,final_label,notes
75,likely_scoring_artifact,extraction_issue,True,0.5004024235381879,sympy:p,sympy:r,ground-truth label degenerated to a bare symbol: 'sympy:r',,
126,likely_scoring_artifact,extraction_issue,True,1.3321790402101223,<parse_failure>,"sympy:eq(y/4-7,3)",majority sample failed to parse,,
148,likely_scoring_artifact,extraction_issue,True,0.6730116670092565,"text:therefore,301isnotatermofthegivenlistofnumbers",sympy:n,ground-truth label degenerated to a bare symbol: 'sympy:n',,
269,likely_scoring_artifact,extraction_issue,True,1.3321790402101223,"sympy:eq(x,49/29)",sympy:x,ground-truth label degenerated to a bare symbol: 'sympy:x',,
55,low_entropy_wrong,notation_misread,True,0.5004024235381879,"sympy:eq(tan(x+y),(tan(x)+tan(y))/(1-tan(x)*tan(y)))","sympy:eq(tan(x+y),(tan(x)+tan(y))/(tan(x)*tan(y)+1))",labels are 96% similar -- small symbolic difference,,
160,low_entropy_wrong,notation_misread,False,0.5004024235381879,"sympy:eq(x,5)","sympy:eq(z,5)",labels are 86% similar -- small symbolic difference,,
161,low_entropy_wrong,needs_visual,True,0.5004024235381879,"\{(x,y,z):x,y,z\inr\}","\{(x,y,x):x,y,x\in\mathbbr\}",labels differ substantially (69% similar),,
173,low_entropy_wrong,needs_visual,True,0.5004024235381879,"sympy:eq(2*x,10)",text:optiond,labels differ substantially (0% similar),,
185,low_entropy_wrong,notation_misread,True,0.5004024235381879,sympy:30*(a*c)+(40*(b*c)+(24*(a*b)+(25*c**2+(9*a**2+16*b**2)))),sympy:30*(a*c)+(40*(b*c)+(24*(a*b)+(24*c**2+(9*a**2+16*b**2)))),labels are 98% similar -- small symbolic difference,,
265,low_entropy_wrong,needs_visual,False,0.6730116670092565,"sympy:eq(y,13)",sympy:13,labels differ substantially (40% similar),,
274,low_entropy_wrong,extraction_issue,False,0.5004024235381879,"sympy:eq(p(e*(cap*f)),p(e)*p(f))",sympy:f,ground-truth label degenerated to a bare symbol: 'sympy:f',,
277,low_entropy_wrong,needs_visual,True,0.6730116670092565,3\sqrt3,3\sqrt3units,labels differ substantially (74% similar),,
52,max_entropy_wrong,notation_misread,False,1.6094379124341005,588.732cm^3,5887.32cm^3,labels are 91% similar -- small symbolic difference,,
65,max_entropy_wrong,extraction_issue,False,1.6094379124341005,<parse_failure>,"sympy:eq(y,4000)",majority sample failed to parse,,
101,max_entropy_wrong,needs_visual,True,1.6094379124341005,"20,000(wetreatthisastheprincipalforthe1styear)","text:so,theestimatedpopulationis23152.5squaremeters",labels differ substantially (22% similar),,
107,max_entropy_wrong,notation_misread,False,1.6094379124341005,"text:interestingly,thenumber392isalsodivisibleby11and98,butthisfactdoesnotaffectwhetheritisaperfectcube","text:interestingly,thenumber392isalsodivisibleby4and98,butthisfactdoesnotaffectwhetheritisaperfectcube",labels are 98% similar -- small symbolic difference,,
175,max_entropy_wrong,notation_misread,False,1.6094379124341005,\begin{bmatrix}-15\frac36\end{bmatrix},\begin{bmatrix}-153560\end{bmatrix},labels are 90% similar -- small symbolic difference,,
202,max_entropy_wrong,extraction_issue,False,1.6094379124341005,"text:therefore,thefunctionfisincreasingonr",sympy:mathbb*r,ground-truth label is SymPy-parsed prose: 'sympy:mathbb*r',,
240,max_entropy_wrong,copied_wrong_line,True,1.6094379124341005,\pm3,"sympy:eq((3*k)/2,pm*3)",model answer appears in an earlier ground-truth line (#10): '\\end{vmatrix}=\\pm3',,
255,max_entropy_wrong,needs_visual,True,1.6094379124341005,text:86<f<95,sympy:94**circ,labels differ substantially (13% similar),,
14,needs_visual,needs_visual,False,0.9502705392332347,text:①,4.5,labels differ substantially (0% similar),,
54,needs_visual,needs_visual,True,0.9502705392332347,"text:therefore,243isnotaperfectcube",sympy:243,labels differ substantially (18% similar),,
144,needs_visual,needs_visual,False,1.0549201679861442,text:themodeofthisdatais2becauseitoccursmorefrequentlythanotherobservations,sympy:2,labels differ substantially (3% similar),,
151,needs_visual,needs_visual,False,1.3321790402101223,"sympy:eq(15/2,(q+8)/2)","sympy:eq(q,7)",labels differ substantially (43% similar),,
167,needs_visual,needs_visual,True,1.3321790402101223,i,\fraci{-(-1)},labels differ substantially (14% similar),,
220,needs_visual,needs_visual,True,1.6094379124341005,"text:\{(x,y,z):(x,y,z\inr)\}","\{(x,y,z):x,y,z\in\mathbbr\}",labels differ substantially (54% similar),,
228,needs_visual,needs_visual,False,1.6094379124341005,-6,4,labels differ substantially (0% similar),,
67,unanimous_wrong,needs_visual,True,0.0,-2,"sympy:eq(a,3/2)",labels differ substantially (18% similar),,
176,unanimous_wrong,needs_visual,True,0.0,"sympy:eq(x,4)",4,labels differ substantially (25% similar),,
208,unanimous_wrong,notation_misread,False,0.0,"sympy:eq(3*x**2,-4*y)","sympy:eq(x**2,-4*y/3)",labels are 87% similar -- small symbolic difference,,
218,unanimous_wrong,extraction_issue,True,0.0,text:optiona,sympy:a,ground-truth label degenerated to a bare symbol: 'sympy:a',,
