item_id,image_path,priority,span_m_disp,span_t_disp,label_m,label_t,strict_v1_correct,strict_v2_correct,rules_disagree,sympy_partial_parse_risk,sympy_malformed_derivative,multi_answer_collapse,mcq_option,tiny_valid_mcq,tiny_suspicious_non_mcq,multi_value_answer,set_answer,system_answer,derivative_equation,text_conclusion,final_label,confidence,note,extraction_status,coded_explicitly
34,images/item034.png,high,0 = 9,"0 = 9,",text:0 = 9,"text:0 = 9,",False,True,True,False,False,False,False,False,True,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
285,images/item285.png,high,"3, 4, 5, 6, 7, ...","3, 4, 5, 6, 7, \ldots",sympy:3,sympy:3,True,False,True,False,False,True,False,False,False,True,False,False,False,False,true_correct,high,"span complete; SymPy gives only 3, incomplete. Span-primary match is real.",extraction_ok,True
2,images/item002.png,high,40^\circ 20' = \frac{1210}{540} \text{ radians}.,40^\circ 20' = \frac{121\textcolor{red}{\theta}}{540} \text{ radian}.,sympy:40**circ*20,sympy:40**circ*20,True,False,True,False,False,False,False,False,False,False,False,False,False,True,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
9,images/item009.png,high,"(x, z) \in R","(\textcolor{red}{x, z}) \in R","text:(x, z) \in r","text:(x, z) \in r",False,True,True,False,False,False,False,False,False,True,True,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
24,images/item024.png,high,10^6,10^{6},sympy:10**6,sympy:10**6,True,False,True,False,False,False,False,False,False,False,False,False,False,False,extraction_issue,high,span is only 10^6; the answer is 4050000 = 4.05 x 10^6 -- the coefficient is missing.,extraction_issue,True
53,images/item053.png,high,nC_{17} = 18C_{17} = 18,nC_{17} = \textcolor{red}{18C_{17}} = 18.,text:nc_{17} = 18c_{17} = 18,text:nc_{17} = \textcolor{red}{18c_{17}} = 18,False,True,True,False,False,False,False,False,False,False,False,False,False,False,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
62,images/item062.png,high,"\left(\frac{f}{g}\right)(x) = \frac{\sqrt{x}}{x}, \quad x \neq 0.","\left( \frac{f}{g} \right)(x) = \frac{\sqrt{x}}{x}, \quad x \neq 0.","sympy:eq(x*(f/g), sqrt(x)/x)","sympy:eq(x*(f/g), sqrt(x)/x)",True,False,True,False,False,False,False,False,False,False,False,False,False,True,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
112,images/item112.png,high,"\left(\frac{f}{g}\right)(t) = \frac{t^2}{2t+1}, \quad t \neq -\frac{1}{2}.","\left( \frac{f}{g} \right)(\textcolor{red}{t}) = \frac{\textcolor{red}{t}^2}{2\textcolor{red}{t} + 1}, \quad \textcolor{red}{t} \neq -\frac{1}{2}.","sympy:eq(t*(f/g), t**2/(2*t + 1))","sympy:eq(t*(f/g), t**2/(2*t + 1))",True,False,True,False,False,False,False,False,False,False,False,False,False,True,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
114,images/item114.png,high,\frac{dy}{dx} = \frac{1}{2} \sqrt{\frac{(x-3)(x^{2}+4)}{3x^{2}+4x+5}} \left[ \frac{1}{(x-3)} + \frac{2x}{x^{2}+4} - \frac{6x+4}{3x^{2}+4x+5} \right],\frac{dy}{dx} = \frac{1}{2} \sqrt{\frac{(x-3)(x^2 + 4)}{3x^2 + 4x + 5}} \left[ \frac{1}{(x-3)} + \frac{2x}{x^2 + 4} - \frac{6x + 4}{3x^2 + 4x + 5} \right].,"sympy:eq(derivative(y, x), (sqrt(((x - 3)*(x**2 + 4))/((3*x**2 + 4*x) + 5))*(-(6*x + 4)/((3*x**2 + 4*x) + 5) + ((2*x)/(x**2 + 4) + 1/(x - 3))))/2)","sympy:eq(derivative(y, x), (sqrt(((x - 3)*(x**2 + 4))/((3*x**2 + 4*x) + 5))*(-(6*x + 4)/((3*x**2 + 4*x) + 5) + ((2*x)/(x**2 + 4) + 1/(x - 3))))/2)",True,False,True,False,False,False,False,False,False,False,False,False,True,True,true_correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,extraction_ok,False
117,images/item117.png,high,P(A|B) = \frac{P(ADB)}{P(B)} = \frac{\frac{4}{13}}{\frac{9}{13}} = \frac{4 \times 13}{9 \times 13} = \frac{4}{9},P(A|B) = \frac{P(A \cap B)}{P(B)} = \frac{\frac{4}{13}}{\frac{9}{13}} = \textcolor{red}{\frac{4 \times 13}{9 \times 13}} = \frac{4}{9}.,sympy:p,sympy:p,True,False,True,False,False,False,False,False,False,False,True,False,False,True,true_correct,high,"span complete on both sides; SymPy collapses to p. FALSE PASS under strict_v1, recovered by strict_v2.",extraction_ok,True
