item_id,has_error,strict_v1_correct,strict_v2_correct,answer_type,question_type_if_available,entropy,max_entropy,parse_failed,span_t_disp,span_m_disp,label_t,label_m,human_label_if_available,note
44,False,True,True,mcq_option,mcq,0.0,False,False,option a,option a,text:option a,text:option a,true_correct,scored correct by both rules
56,True,False,False,numeric,free_response,0.9502705392332348,False,False,95^\circ,95^\circ F,sympy:95**circ,sympy:95**circ*f,extraction_issue,scored wrong; span and label shown for comparison
62,False,True,False,text_conclusion,free_response,1.3321790402101223,False,False,"\left( \frac{f}{g} \right)(x) = \frac{\sqrt{x}}{x}, \quad x \neq 0.","\left(\frac{f}{g}\right)(x) = \frac{\sqrt{x}}{x}, \quad x \neq 0.","sympy:eq(x*(f/g), sqrt(x)/x)","sympy:eq(x*(f/g), sqrt(x)/x)",true_correct,the two rules disagree on this item
64,True,False,False,text_conclusion,free_response,1.3321790402101223,False,False,\sin^{-1} \left( \sin \frac{3\pi}{5} \right) = \sin^{-1} \left( \sin \frac{2\pi}{5} \right) = \frac{2\pi}{5}.,\sin^{-1}\left(\sin \frac{3\pi}{5}\right) = \sin^{-1}\left(\sin \frac{2\pi}{5}\right) = \frac{2\pi}{5}.,text:\sin^{-1} ( \sin \frac{3\pi}{5} ) = \sin^{-1} ( \sin \frac{2\pi}{5} ) = \frac{2\pi}{5},text:\sin^{-1}(\sin \frac{3\pi}{5}) = \sin^{-1}(\sin \frac{2\pi}{5}) = \frac{2\pi}{5},,prose conclusion; strict matching cannot score a sentence
117,True,True,False,set_answer,mcq,0.9502705392332348,False,True,P(A|B) = \frac{P(A \cap B)}{P(B)} = \frac{\frac{4}{13}}{\frac{9}{13}} = \textcolor{red}{\frac{4 \times 13}{9 \times 13}} = \frac{4}{9}.,P(A|B) = \frac{P(ADB)}{P(B)} = \frac{\frac{4}{13}}{\frac{9}{13}} = \frac{4 \times 13}{9 \times 13} = \frac{4}{9},sympy:p,sympy:p,true_correct,both labels collapsed to `sympy:p` from a long span; the match is vacuous
132,False,True,True,system_answer,free_response,0.6730116670092565,False,False,"x = 3, \, y = 1","x = 3, \quad y = 1.","sympy:eq(x, 3)","sympy:eq(x, 3)",true_correct,scored correct by both rules
147,False,True,True,multi_value,free_response,0.5004024235381879,False,False,"12, 35, 37","12, 35, 37",sympy:12,sympy:12,true_correct,scored correct by both rules
149,True,False,False,multi_value,free_response,1.0549201679861442,False,False,"0^\circ, 0^\circ, 1^\circ",1^\circ,sympy:0**circ,sympy:1**circ,true_correct,scored wrong; span and label shown for comparison
170,False,False,False,mcq_option,mcq,0.5004024235381879,False,False,(b),"Finally, (iv) matches (b)",sympy:b,"text:finally, (iv) matches (b)",extraction_issue,tiny truth span; a coincidental match or miss is cheap here
173,True,False,False,mcq_option,mcq,0.5004024235381879,False,False,option d,2x = 10,text:option d,"sympy:eq(2*x, 10)",extraction_issue,scored wrong; span and label shown for comparison
183,True,True,False,derivative_equation,free_response,0.9502705392332348,False,False,(1 - x^2) \frac{d^2 y}{dx^2} - x \frac{dy}{dx} = 0,(1-x^2)\frac{d^2y}{dx^2} - x\frac{dy}{dx} = 0.,"sympy:eq(-x*derivative(y, x) + ((d**2*y)/(dx**2))*(1 - x**2), 0)","sympy:eq(-x*derivative(y, x) + ((d**2*y)/(dx**2))*(1 - x**2), 0)",true_correct,the two rules disagree on this item
194,False,True,True,set_answer,free_response,0.6730116670092565,False,False,"(a,c) \in R","(a,c) \in R","text:(a,c) \in r","text:(a,c) \in r",true_correct,scored correct by both rules
210,True,True,True,single_expression,free_response,0.5004024235381879,False,False,B = 45^\circ,B = 45^\circ,"sympy:eq(b, 45**circ)","sympy:eq(b, 45**circ)",,scored correct by both rules
215,True,True,True,multi_value,free_response,0.6730116670092565,False,True,"\frac{3}{\sqrt{77}}, \quad \frac{-2}{\sqrt{77}}, \quad \frac{8}{\sqrt{77}}.","\frac{3}{\sqrt{77}}, \frac{-2}{\sqrt{77}}, \frac{8}{\sqrt{77}}",sympy:3/(sqrt(77)),sympy:3/(sqrt(77)),true_correct,at least one sample failed to parse
249,True,False,False,derivative_equation,free_response,0.9502705392332348,False,False,\frac{d}{dx}(a^x) = a^x \textcolor{red}{x \log a},\frac{d}{dx}(a^x) = a^x \log a,"sympy:eq(derivative(a**x, x), a**x*(x*log(a, e)))","sympy:eq(derivative(a**x, x), a**x*log(a, e))",extraction_issue,scored wrong; span and label shown for comparison
253,False,False,False,derivative_equation,free_response,1.6094379124341005,True,False,\frac{dy}{dx} = \frac{dy/d\theta}{dx/d\theta} = \frac{3a \sin^2 \theta \cos \theta}{-3a \cos^2 \theta \sin \theta} = -\tan \theta = -\frac{\sqrt[3]{y}}{x},\dfrac{dy}{dx} = \dfrac{\dfrac{dy}{d\theta}}{\dfrac{dx}{d\theta}} = \dfrac{3a\sin^{5}\theta\cos\theta}{-3a\cos^{5}\theta\sin\theta} = -\tan\theta = -\dfrac{3\sqrt{y}}{x},text:\frac{dy}{dx} = \frac{dy/d\theta}{dx/d\theta} = \frac{3a \sin^2 \theta \cos \theta}{-3a \cos^2 \theta \sin \theta} = -\tan \theta = -\frac{\sqrt[3]{y}}{x},text:\dfrac{dy}{dx} = \dfrac{\dfrac{dy}{d\theta}}{\dfrac{dx}{d\theta}} = \dfrac{3a\sin^{5}\theta\cos\theta}{-3a\cos^{5}\theta\sin\theta} = -\tan\theta = -\dfrac{3\sqrt{y}}{x},extraction_issue,all five samples differ; entropy at its ceiling
276,False,False,False,numeric,free_response,1.0549201679861442,False,False,243,"Therefore, 243 is not a perfect cube",sympy:243,"text:therefore, 243 is not a perfect cube",true_correct,tiny truth span; a coincidental match or miss is cheap here
286,True,True,True,mcq_option,mcq,0.9502705392332348,False,False,option c,option c,text:option c,text:option c,true_correct,scored correct by both rules
290,False,False,False,multi_value,free_response,0.9502705392332348,False,True,"\left( 0, -\frac{13}{3} \right).","\left(0, -\frac{13}{3}\right).","text:( 0, -\frac{13}{3} )","text:(0, -\frac{13}{3})",,at least one sample failed to parse
296,False,False,False,text_conclusion,free_response,1.3321790402101223,False,False,"\int_0^{\frac{\pi}{2}} \log \sin x \, dx = -\frac{\pi}{2} \log 2.","\int_{0}^{\pi} \log \sin t \, dt = -\pi \log 2","sympy:eq(integral(log(sin(x), e), (x, 0, pi/2)), -pi/2*log(2, e))","sympy:eq(integral(log(sin(t), e), (t, 0, pi)), -pi*log(2, e))",extraction_issue,prose conclusion; strict matching cannot score a sentence
