item_id,stratum,first_audit_sources,queue,selection_prob,review_order,review_id,protocol_version,seed
160,v1_wrong|clean|H_low|genuinely_wrong_census|v2_high_priority,genuinely_wrong_census|v2_high_priority,extension,,0,R0000,second_rater_v1_20260814,20260814
262,v1_wrong|err|H_high|genuinely_wrong_census,genuinely_wrong_census,extension,,1,R0001,second_rater_v1_20260814,20260814
62,v1_wrong|clean|H_mid|v2_high_priority,v2_high_priority,extension,,2,R0002,second_rater_v1_20260814,20260814
123,v1_correct|err|H_low|v1_correct_spotcheck|v2_high_priority,v1_correct_spotcheck|v2_high_priority,core,0.5,3,R0003,second_rater_v1_20260814,20260814
59,v1_wrong|clean|H_mid|genuinely_wrong_census,genuinely_wrong_census,extension,,4,R0004,second_rater_v1_20260814,20260814
268,v1_correct|clean|H_low|v1_correct_spotcheck,v1_correct_spotcheck,extension,,5,R0005,second_rater_v1_20260814,20260814
288,v1_wrong|err|H_high|v2_high_priority,v2_high_priority,core,0.666667,6,R0006,second_rater_v1_20260814,20260814
277,v1_wrong|err|H_mid|genuinely_wrong_census,genuinely_wrong_census,extension,,7,R0007,second_rater_v1_20260814,20260814
251,v1_wrong|err|H_mid|genuinely_wrong_census,genuinely_wrong_census,core,0.5,8,R0008,second_rater_v1_20260814,20260814
100,v1_correct|err|H_mid|v1_correct_spotcheck,v1_correct_spotcheck,extension,,9,R0009,second_rater_v1_20260814,20260814
205,v1_correct|err|H_mid|v1_correct_spotcheck,v1_correct_spotcheck,core,0.538462,10,R0010,second_rater_v1_20260814,20260814
293,v1_wrong|clean|H_mid|v1_correct_spotcheck|v2_high_priority,v1_correct_spotcheck|v2_high_priority,extension,,11,R0011,second_rater_v1_20260814,20260814
50,v1_correct|err|H_low|v1_correct_spotcheck,v1_correct_spotcheck,core,0.5,12,R0012,second_rater_v1_20260814,20260814
11,v1_correct|clean|H=0|v1_correct_spotcheck,v1_correct_spotcheck,core,0.555556,13,R0013,second_rater_v1_20260814,20260814
248,v1_correct|err|H_mid|v1_correct_spotcheck,v1_correct_spotcheck,extension,,14,R0014,second_rater_v1_20260814,20260814
213,v1_correct|err|H=0|v1_correct_spotcheck,v1_correct_spotcheck,extension,,15,R0015,second_rater_v1_20260814,20260814
266,v1_correct|err|H_low|v1_correct_spotcheck,v1_correct_spotcheck,core,0.5,16,R0016,second_rater_v1_20260814,20260814
57,v1_correct|err|H_mid|v1_correct_spotcheck,v1_correct_spotcheck,core,0.538462,17,R0017,second_rater_v1_20260814,20260814
