item,final_label,confidence,note
12,extraction_issue,high,"GT span split a two-part answer 'x = 3, y = 1' -> eq(x,3); sample s3 emitted exactly that and matched. Model correct."
25,extraction_issue,high,"MCQ: GT label is 'option d' (the caption's 'optioned' is 'option d' with the space lost in rendering). Page derivation ends 2x=10 years; model gave the value, key wants the letter. s3 emitted 'option d' and matched. Pixtral correct."
26,copied_wrong_line,medium,"Model transcribed the red/injected line 11/4 log|x+1| - 11/4 log|x+3| instead of the final result line 11/4 log|(x+1)/(x+3)|. The two are mathematically equal (log a - log b), so this is line choice, not a math error."
30,extraction_issue,high,"Both sides mangled: GT kept only the 2nd root and parsed 'cm' as c*m -> -1*c*m/2; model gave BOTH roots but the extractor joined them with a minus -> -c*m/2 + (2/3)*c*m. User reading (roots 2/3 cm, -1/2 cm) confirmed against pert_a."
33,extraction_issue,high,"GT truncated to bare 'sympy:2' from '...but 2 is not'. Model's sentence '-2 is a zero of the polynomial x+2, but 2 is not' is correct. User reading confirmed."
47,extraction_issue,high,"Cosmetic: s2 = 'x = 2 cm and y = 3 cm' vs GT 'x = 2 \, cm and y = 3 \, cm' -- differs only by the \, spacing macro. All 5 samples distinct so no majority formed."
52,extraction_issue,high,"HUMAN FINAL (image re-read): truth final answer is 5887.32 cm^3; the wrong model label comes from sample/extractor issues, not a clear model failure. Supporting data: 3 of 5 samples wrote 5887.32 (s1,s3) or 5887\cdot32 (s2); the decimal-split bug then truncated them to '732 cm^3' and '32 cm^3'. Only s0 wrote 588.732."
54,extraction_issue,high,"GT truncated to bare 'sympy:243'; model said 'therefore, 243 is not a perfect cube'. Model correct with extra text, as user read."
65,extraction_issue,medium,"s1 emitted 'x = 2000, y = 4000' -- contains the GT answer y=4000 -- but the extractor kept only eq(x,2000). Other samples genuinely scattered (11,000 / 14,000 / parse fail), so partly real instability."
89,extraction_issue,high,"GT took 'x = 1' out of a 4-number sentence; s1 and s2 emitted eq(x,1) and matched, but majority (3/5) was '[1, 5]'. The sentence offers several extractable spans."
93,extraction_issue,high,"MCQ, same as item 25: GT label is 'option d', model gave the value 2540 (which is correct, and is the page's own figure). s0 emitted 'option d' and matched. Pixtral correct."
99,extraction_issue,high,"eq(x**2, 4*(2*x)) vs eq(x**2, 8*x) -- identical, SymPy left the product unevaluated. Already one of the 3 known Qwen equivalence cases (99, 151, 208). User reading confirmed."
101,extraction_issue,medium,GT destroyed by the decimal split: '23152.5 square meters' -> '5 square meters}'. Model samples genuinely scattered. This is the documented false-pass item that the decimal fix removes.
107,extraction_issue,medium,"HUMAN FINAL (image re-read): model and truth both carry 392 and the same final statement, so this is mainly a parser/scoring issue, not a wrong final answer. GT span is the bare '}'. Caveat retained: s0 read the divisor as 11 and s2 as 6 where the page says 4, so a secondary misread sits under the extraction failure."
119,extraction_issue,high,"Model emitted the chain 'p(r) = 1 - p(s) = 1 - 0.62 = 0.38'; GT is eq(p(r),0.38). Same value, chain vs final term. User reading confirmed."
120,extraction_issue,high,"Model emitted the full chain ending '= 948'; s4 emitted bare 948 and matched. Both say 948, as user read."
125,extraction_issue,high,"GT collapsed '0, 0, 1' to 'sympy:0'. Model's sentence reproduces the page exactly (b-axis 0,1,0 and c-axis 0,0,1). Model matches the image; the GT label is the artifact."
130,extraction_issue,high,"Same physical quantity, different span: GT took '1/21' (km), model took '47.62' from the red sentence 'approximately 47.62 meters'. 1/21 km = 47.6 m. User reading confirmed."
