item_id,has_error,handwriting_style,image_quality,question_sha256,reference_answer_sha256,item_content_sha256,perception_entropy,reasoning_entropy,transcription_correct,grading_correct,n_transcription_parse_failures,n_grading_parse_failures,k_transcription,model_id,transcription_prompt_sha256,grading_prompt_sha256,dataset_id,dataset_revision,dataset_split,selection_seed,source_row_index,alignment_status,in_audit_union,audit_sources,audit_selection_reason
0,False,True,True,0e6d3b4f4a6f0554a1eaadb5345924746e08456b4efc0847b541e7c8ded593cd,f48ca23947e849c3f3eb85217b77cf67a946a8aa6c3e4208f40f029890f1e24a,64c8ed6144f3314b5baebcca048fd95f6fe1902dfff82c1e6d40c040333062e3,1.0549201679861442,0.5004024235381879,False,False,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,False,,
1,False,True,True,536d5875cc6796680693352684d1632c2c0851aa02fc669d0e72f99c4acca174,080aff16bf6b24b68ff9092dbf107277bbd1d3776628833e5bb89384ee74a0a8,f697316db4696597dd2c610c4cb07c8b4f5c5d558e39fc591a8896b9029d35b6,1.6094379124341005,0.0,False,False,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,False,,
2,True,True,False,d48b48af9cfc9d231b46494efe778ee76ffa80cfec36f9da98f19d9e43ee6daa,6547fbf7a86fa97e48ee8747330201e5be981f114d47b810ee347008553e57d5,298c8aa7fa9a9ced8e6095ecff7622231bc028eb680816fb6b0750d97394a29b,1.3321790402101223,0.0,False,True,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,v2_high_priority,targeted audit set; NOT an IID sample of the 300
3,False,True,False,5239ea34c01a46f884098a74ef1ce344345859e739a0721abd3cfa951922d153,d8fca96ad0fc896bb30c75380f340c572e346d8b51e4c81c5a210c269a05d1fc,4013246cbe7177480e3870ddf42b40db793d64c585499074b141e7d09a8b4a5a,0.9502705392332348,0.6730116670092565,True,False,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,False,,
4,False,True,True,c658609f6866a6867b4c52038efb73081f38d5fdd1c8cf55d3a23621bb4fd07e,8f0e2c465fa254facab760bd236a8d199681d7024a9c9d342faef07391238c1e,468e6929c2b9aeae0939926cb6834cc9056e65cfdfaa007ab00ed8bcb2e38b6c,1.0549201679861442,0.0,True,False,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,v1_correct_spotcheck,targeted audit set; NOT an IID sample of the 300
5,True,True,True,bae336c2a3d1421aba5a25dfd5bc5c726e6119b92930fdd79e2cc25d94d1405a,c4d6e47a82eff7f0ccab662764cef9836178a8bf5f50447b23626e05d68bf7bd,a743ac1170efb845f35bb9d359003b4690d869bc84b6c23947ff26ec38c624d0,0.0,0.0,True,True,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,v1_correct_spotcheck,targeted audit set; NOT an IID sample of the 300
6,True,True,True,2c28a288b6fe94ceb2ac054ecd7a17e0af02ec6f892d57051ed8425686a084d6,40c8ea625eb85fa647dd2dd177b9ac14df2b98abcb5af49099a6ec7ee6d0149b,1fa08f5e249793ca44dc6d413cd7e75cf1692d41b611bdb78ef13c8ce2678ada,0.0,0.5004024235381879,True,True,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,v1_correct_spotcheck,targeted audit set; NOT an IID sample of the 300
7,False,True,False,21134271ae088d0092c15522f7ab23f2cc65273f15185558c5cc2b3b3734f90f,9f1160136f8610c164625738d11efa66f921fc23ef7a4e17280a787438d6d415,99270e08edf57e7e74ea3dd7cbb6fe6c756fc60235a5c0d8081812ac3c820d40,0.6730116670092565,0.6730116670092565,True,False,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,v1_correct_spotcheck,targeted audit set; NOT an IID sample of the 300
8,True,True,True,aa5fc594dee9afeb76d00094172b257c99a8e5c907ec9762ab4f0a99fd9ba478,fa9b91f87e0b64ba43cad2363db7a88cb38efda112984f51c3e108d6da319c7c,cda86d13c1641c8efeb9f067d690675fd1d6bd7dac18b0c7046d7689b3f48570,1.6094379124341005,0.0,False,True,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,genuinely_wrong_census,targeted audit set; NOT an IID sample of the 300
9,False,True,True,52877484cb006f00df6e37390aa6b381f450add667dd689c688b76295cf7ee1c,6a097dfbde6972c43cfdf88bde77e27e58e5a52939b6622ce4ce11bb1a071276,a8d0df5746f485680547940d60d2b7b6af560221aaeff431f203842810f93e4d,1.3321790402101223,0.5004024235381879,False,False,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,v2_high_priority,targeted audit set; NOT an IID sample of the 300
10,False,True,True,8ec3934b0b7b8dac5c819f42916143b3561b435aa494326b06775752c57e1bcb,1c1a93b3fa5c0c3eb5a6c1d4b2f196a48cfabe4b9d3e09c5b2b5dc58ee87ad5f,d78c9c82e5ffa6438f6797d967d8d7d1458ece86454425b408cf3520c918d001,1.3321790402101223,0.0,True,False,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,v2_high_priority,targeted audit set; NOT an IID sample of the 300
11,False,True,True,8ea3d3345915a4d598baf1d62f547f755cc81e79942a864880a2058bf8784fd7,f389dd068b528613ceb73b656a38dec300cc749405aeb38a13a3d9ccf9753d9b,e04967cf030b4111377ece9193268ffab11f1ee5ceadd6b9b993a56b273e8c52,0.0,0.5004024235381879,True,False,0,1,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,v1_correct_spotcheck,targeted audit set; NOT an IID sample of the 300
12,False,True,True,e9c8ff9b1381ccd3612916e7c5671daf04b177a2ee46f85257e6daaa671b2fe0,049a6648b3229cf90e809075696f5dd2a8a42a1174c431890cef00cd0249d60d,ea6edc0c3f4c9a6ced34805bf311dcc5855e77b313ae777b6783da595132df05,0.9502705392332348,0.5004024235381879,False,False,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,genuinely_wrong_census|v2_high_priority,targeted audit set; NOT an IID sample of the 300
13,True,True,True,9cc630b2575312ab5c24208f2e975e11842913023b9d2cca70502baee26e1712,fc79f1548d47e7f7c22f150f5fae5231647820782d37195d5a0e53f1d1ec0d72,2cac8e3dfec3ff0184bef31802054403f8f634b6b779998754f883f625a00c9a,1.3321790402101223,0.5004024235381879,False,True,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,False,,
14,False,True,False,096ee4d18e1a15bf00d924792e5f7850d1fee82dbf505d479501858f89d8b210,344498c557a3fa3f34a1ec02b5f2427e40cc447844a5b03022ebb806522a5d8b,9f0d28bb8554595953d2d75e30bcd73ec247c1508eb3e089702f412e05393098,1.3321790402101223,0.0,False,True,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,genuinely_wrong_census,targeted audit set; NOT an IID sample of the 300
15,False,True,True,0a5e534a0fa5a322e1aa160b5b7b1801cd1f9f9c15cdf8015281c1a51f0549e8,e532940f8376077ecb797e527fa7f5bfb72b3f65043791f513e4c4a4a2f050fa,13cb86f8d5362a063b569f09ee5f7e509b80b13abfaf5606ee78e999e7f8f17f,0.9502705392332348,0.0,True,False,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,v1_correct_spotcheck,targeted audit set; NOT an IID sample of the 300
16,True,True,True,16c3633c6bfbbad0d0e0d485b2c664ebe45ed0116433b5de83348e926d540594,4f2d6585a6f036af117c3c299bb8c91892143c7c7db52c4c21065026d363bcd0,e1b31fc8f873f4fc5e935207c80af29a1846204e64cb351527689d86adbf0504,1.0549201679861442,0.0,True,True,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,v1_correct_spotcheck,targeted audit set; NOT an IID sample of the 300
17,True,True,True,d48b48af9cfc9d231b46494efe778ee76ffa80cfec36f9da98f19d9e43ee6daa,0090ecb755df3fc7acf46ca1cf9b9de12a2d3a6a55314f19d2e5f4c725a2b331,7916dd5c3929eb58244dae086865dc2fa7bbc7495e69d2b604abcebedd9f353c,1.6094379124341005,0.0,False,True,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,False,,
18,True,False,False,f0f40bbca2e7b72368dfba2f08365f91b23e0e882b67085a2026a51d7144e33c,f967e36842b1e928d50911873dde806cb44dec54798081957b6e916f5060df48,420a3d7278c97583918f7ac08d82046a4e4a58b7de0a862cf96a988af3951aff,0.5004024235381879,0.0,True,True,1,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,False,,
19,False,False,True,1de134b674a8f361f9c8f4821a5142e211fb79febb3e73431062b82a13b7b496,66d0db2ca05653d224d15f02cadcf4a9562412ef825f0e3d5eb25cc63e1839a0,68029f65dc3bb1969b17768a2739f146277c9a47653dca1ceaacd745d213479d,1.3321790402101223,0.5004024235381879,False,False,1,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,v1_correct_spotcheck,targeted audit set; NOT an IID sample of the 300
20,False,True,False,3eca04dc724c113ed09c4e330e4c81131eee673e50997ec26cdc13f174402946,1c94033b633a2ab54bdc9a22ec93757f0fac22962e97b8f4db426a21a6ea8838,28ada734b7fb11b697bc13a047d35ee3e4d32be4ab61b1e425c4ee17f0d2950e,0.5004024235381879,0.5004024235381879,False,False,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,False,,
21,False,False,False,bb52cfafff1504d4b68a6a952f7f6cb0f79b665ec1795f28551d9b8757df8c52,c962b7d1066fd857e2124d0fca4bec2ee2f6e3361db8f7ec60b38637e702f2ca,80ea779896f5e226ae73d1da0c70b29bc3b1979ae30ec007e2d370cd5ee1d264,1.3321790402101223,0.6730116670092565,False,False,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,False,,
22,False,True,True,bb52cfafff1504d4b68a6a952f7f6cb0f79b665ec1795f28551d9b8757df8c52,bec14f9da3b24f686dd163b33cae7478270179a056a48ea1c2d28387f1be790e,f70eea290ce4b6a8a37cd2f60744cd8cbca8862bd4f69029a0ffaaba4bcd0668,1.3321790402101223,0.5004024235381879,True,False,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,v1_correct_spotcheck,targeted audit set; NOT an IID sample of the 300
23,False,True,True,7319b0627d04a9fa84f10a44ec2680177559df1f47d87fbad61052ccb83a4568,5cfa19afbc749e47fab97c8487111384c2abc7e43c8c8f3cf84c3cfe1006f3c1,a58694b6daf8d85e4ce5fbc3d5512bc0fb9d825853b3efa9423468ab2f57a8ba,0.5004024235381879,0.0,True,False,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,False,,
24,False,True,True,40de7b7d171baa4885682fd64f3888e25c2e647b153dd4ed11bbb91d75133444,c330c15166e608535a752bda7d8f401fff6f5f78ebe3e2f1c83219f7e1facedb,88675b2279b405daacc2682d938a777610afbb796d93e328d26b1d9be7b483fc,0.9502705392332348,0.6730116670092565,False,False,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,v2_high_priority,targeted audit set; NOT an IID sample of the 300
25,False,True,False,5baf13f414014d0e7c089930886c858845b3c2c26df522283aa96c1b6b38f754,a56aef6b4efc3b96e521be016d66091aea694ecc0709115e1fe9eb154677e2fc,9f9cccc9f16aea1521499700199d62a4c6c342d7a0e236a659f95203fd2890cf,1.3321790402101223,0.0,False,False,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,genuinely_wrong_census,targeted audit set; NOT an IID sample of the 300
26,True,True,True,e8ba84be2036fdf9e6b18df8db2952df8f82e400c3357e649055016ca343531d,1c52df163ffeca941ac6eba9042be4633eef953686cabc8a8d3ac3db60aeeb4d,dae39d4bbc31cffc6fa91673ee5e7d3b207e90090ea7af02ad7b27a204059c2e,0.9502705392332348,0.5004024235381879,False,True,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,genuinely_wrong_census,targeted audit set; NOT an IID sample of the 300
27,True,True,True,10692b772aa44029302c006b673da8b654db0cb59b4b0d6643303b0392a36d27,0f6ff2c9a798675f81a25a0c8264f2e75e341d9821f29b41f0a40169f384504e,d29256dd996fd5b603d5646315d1b5b35a10fcc4164eb4259cc6542e382f70cf,0.5004024235381879,0.5004024235381879,True,True,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,v1_correct_spotcheck|v2_high_priority,targeted audit set; NOT an IID sample of the 300
28,False,False,False,b64d03675c9f97e09edda8385c92bd4c6edc331946f4e851a04631b4f3b9fa17,bd370c63c6b78e8af1f767ffbbd0a1c5628ce7f9055ecdec43caa722b46e4a68,13273c0ff01812fa15101afbe4b578b8642df88c14e674ea9c37f30b049ee888,0.9502705392332348,0.5004024235381879,True,False,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,v1_correct_spotcheck,targeted audit set; NOT an IID sample of the 300
29,True,True,False,b25361ab3d41ba43f685faf67affc326934a594732fb56f971b8d51c255f7e80,2b99743ed6b9fd9df62fcae97d481a7cbcac4ba4361cf56245855e2dbb40c38f,a53a03d79a6ea4eeef7a0ec2a5d2d31e578b78d5edd97da2bdd068e77d94b942,0.0,0.0,True,True,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,v1_correct_spotcheck,targeted audit set; NOT an IID sample of the 300
30,True,True,True,9d71f1615c8a4a076e329dc0760b3cf3836a0de87aa9414ac0a0bb0dd51c7a13,829c4e43cb60b9bc6d32bf5f1e28506ce7a2e123d29830d8df79d74f8b799e87,3471926f4ce2326424e88c4da0e3daed7da3f83fc42beacc1314106b21db1f7a,1.3321790402101223,0.0,False,True,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,genuinely_wrong_census,targeted audit set; NOT an IID sample of the 300
31,True,False,False,cf3b9e853de89b73f12e85ee633e2302a31c3687c1f220c955c3c1ce599fbabd,5e6145f0c60bdc9af62ff16ad312470d85ececfc642a90caa18d3d3be3a41ef4,be877e23a1d04020a25607648dc0b472df8cfba156e296bf67eae248544cf83e,0.6730116670092565,0.0,False,True,0,0,5,Qwen/Qwen2.5-VL-3B-Instruct,68b63e0a618ab7814fbd951c9dd513b8eeca5d04f70a87f4310234c5952f3f07,ed27c4a599e03e72ea0bccc031f47be869c59a538f72e21e9ea3e80a2b64db13,ai4bharat/FERMAT,80ff9934c38615bb8d3a33c24252db02e21774f0,train,42,,PENDING_AUTHENTICATED_RUN,True,v1_correct_spotcheck,targeted audit set; NOT an IID sample of the 300
