item_id,audit_set,source_file,final_label,truth,confidence,note,coded_explicitly,extraction_status
2,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
4,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,extraction_issue,indeterminate,high,"FALSE PASS: span is the fragment y^{(3)} on both sides; the page's answer is that the differential equation is not polynomial in its derivatives so its degree is NOT DEFINED. NB the polynomial working in the coder's note describes item 180; item 4 is coded on its own data, which supports the same label.",,
5,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,needs_visual,indeterminate,medium,"possible false pass / key mismatch: model and truth both say Option A, but the handwritten final answer appears to be 231444 while Option A appears different. Cannot resolve from the page -- flagged, not decided.",,
6,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
7,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,extraction_issue,indeterminate,high,"FALSE PASS: model and truth both collapsed to 'delta', but the handwritten final answer is -6. Scored correct for the wrong reason.",,
8,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,extraction_issue,indeterminate,medium,"Truth is Option B, model gives value 403.33 -- value-vs-option-key mismatch, same pattern as 25/93/173 in only_qwen.",,
9,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
10,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
11,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
12,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,extraction_issue,indeterminate,high,"GT span split a two-part answer 'x = 3, y = 1' -> eq(x,3); sample s3 emitted exactly that and matched. Model correct.",,
12,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,extraction_issue,indeterminate,high,both span and SymPy give y = 1 and drop x = 3.,True,extraction_issue
14,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,extraction_issue,indeterminate,high,"Image says Option D, final value 4.5; model label became a stray glyph. Known _OPTION_RE case (LaTeX-wrapped option letter).",,
15,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,true_correct,correct,high,model and truth agree and the handwritten final answer matches -- a genuine correct read.,,
16,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,true_correct,correct,high,model and truth agree and the handwritten final answer matches -- a genuine correct read.,,
19,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
22,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
24,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,extraction_issue,indeterminate,high,span is only 10^6; the answer is 4050000 = 4.05 x 10^6 -- the coefficient is missing.,True,extraction_issue
25,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,extraction_issue,indeterminate,high,"MCQ: GT label is 'option d' (the caption's 'optioned' is 'option d' with the space lost in rendering). Page derivation ends 2x=10 years; model gave the value, key wants the letter. s3 emitted 'option d' and matched. Pixtral correct.",,
26,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,copied_wrong_line,wrong,medium,"Model transcribed the red/injected line 11/4 log|x+1| - 11/4 log|x+3| instead of the final result line 11/4 log|(x+1)/(x+3)|. The two are mathematically equal (log a - log b), so this is line choice, not a math error.",,
27,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,extraction_issue,indeterminate,high,"FALSE PASS: scorer matched 4x=3, but the handwritten final answer requires BOTH x=3/4 and y=33/4. The y half is missing.",,
27,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
28,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
29,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,true_correct,correct,high,model and truth agree and the handwritten final answer matches -- a genuine correct read.,,
30,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,extraction_issue,indeterminate,high,"Both sides mangled: GT kept only the 2nd root and parsed 'cm' as c*m -> -1*c*m/2; model gave BOTH roots but the extractor joined them with a minus -> -c*m/2 + (2/3)*c*m. User reading (roots 2/3 cm, -1/2 cm) confirmed against pert_a.",,
31,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,extraction_issue,indeterminate,high,"KNOWN FALSE PASS (calibration item, caught): model and truth extracted 2 cm, but the handwritten final answer is 19.2 cm.",,
33,genuinely_wrong_census,coded_31_qwen_only_qwen_20260811.csv,extraction_issue,indeterminate,high,"GT truncated to bare 'sympy:2' from '...but 2 is not'. Model's sentence '-2 is a zero of the polynomial x+2, but 2 is not' is correct. User reading confirmed.",,
33,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,extraction_issue,indeterminate,high,truth span is only 2; the conclusion is that -2 is a zero and 2 is not.,True,extraction_issue
34,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,true_correct,correct,medium,coder swept as okay: the model answer is correct and the extraction/label is correct enough.,False,extraction_ok
35,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,extraction_issue,indeterminate,high,"Model gives centre (-4,-5); truth label kept only radius 7. Page answer states both, parser compared partial pieces.",,
35,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,extraction_issue,indeterminate,high,"both halves incomplete: model span has the centre (-4,-5), truth span only the radius 7.",True,extraction_issue
36,v1_correct_spotcheck,spotcheck_40_qwen_strict_v1_correct_20260811.csv,true_correct,correct,high,model and truth agree and the handwritten final answer matches -- a genuine correct read.,,
39,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,extraction_issue,indeterminate,medium,Both labels degenerate; image final answers are expressions the parser failed on.,,
40,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,extraction_issue,indeterminate,high,"Model parse failure; image final answer is y = 7. Generation/parser failure, not a misread.",,
40,v2_high_priority,strict_v2_high_priority_human_audit_20260812.csv,extraction_issue,indeterminate,high,model span is nan; the final answer is y = 7.,True,extraction_issue
41,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
42,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
44,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
45,genuinely_wrong_census,coded_73_wrong_on_both_20260811.csv,needs_visual,indeterminate,medium,"Image rotated/blurry, could not be read confidently.",,
46,v1_correct_spotcheck,spotcheck_extra60_qwen_strict_v1_correct_20260812.csv,true_correct,correct,medium,coder swept this as okay: model and truth agree and the page's final answer matches.,,
