item_id,mcq_group,presort,heuristic_mcq_like,has_error,strict_v1_correct,strict_v2_correct,entropy,span_m_disp,span_t_disp,label_m,label_t,model_tier,truth_tier,flags,option_word_in,flagged_by_weak_trigger_only,question_has_choice_list,paren_letters_match,question_head,contact_sheet_file,contact_sheet_cell,confirmed_mcq,reviewer_note,coding_depth,mcq_type
3,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.9502705392332348,option a,option a,text:option a,text:option a,option,option,mcq_option,"truth_span,answer_field",False,True,,"If a person walks at 14 km/hr instead of 10 km/hr, he would have walked 20 km more. The actual distance travelled by him is: \begin{enumerate} \item[A] 50 km \i",mcq_flagged_p1.png,1,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
5,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.0,option a,option a,text:option a,text:option a,option,option,mcq_option,"truth_span,answer_field",False,True,,"The least perfect square, which is divisible by each of 21, 36 and 66 is: \begin{enumerate} \item[A)] 213444 \item[B)] 214344 \item[C)] 214434 \item[D)] 231444 ",mcq_flagged_p1.png,2,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
6,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.0,option a,option a,text:option a,text:option a,option,option,mcq_option,"truth_span,answer_field",False,True,,"If \( \log \frac{a}{b} + \log \frac{b}{a} = \log (a + b) \), then: \begin{enumerate} \item[A)] \( a + b = 1 \) \item[B)] \( a - b = 1 \) \item[C)] \( a = b \) \",mcq_flagged_p1.png,3,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
11,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.0,option b,option b,text:option b,text:option b,option,option,mcq_option,"truth_span,answer_field",False,True,,"A, B and C can do a piece of work in 20, 30 and 60 days respectively. In how many days can A do the work if he is assisted by B and C on every third day? \begin",mcq_flagged_p1.png,4,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
14,flagged_mcq_like,option_word_and_choice_list,True,False,False,False,1.3321790402101223,①,\Rightarrow x = 4.5,text:①,text:\rightarrow x = 4.5,boxed,display_math,tiny_valid_mcq,answer_field,False,True,,\[ (17)^{3.5} \times (17)^{x} = 17^{8} \] \begin{enumerate} \item[A)] 2.29 \item[B)] 2.75 \item[C)] 4.25 \item[D)] 4.5 \end{enumerate},mcq_flagged_p1.png,5,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
18,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.5004024235381879,option c,option c,text:option c,text:option c,option,option,mcq_option,"truth_span,answer_field",False,True,,"In one hour, a boat goes 11 km/hr along the stream and 5 km/hr against the stream. The speed of the boat in still water (in km/hr) is: \begin{enumerate} \item[A",mcq_flagged_p1.png,6,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
25,flagged_mcq_like,option_word_and_choice_list,True,False,False,False,1.3321790402101223,2x = 10,option d,"sympy:eq(2*x, 10)",text:option d,display_math,option,mcq_option,"truth_span,answer_field",False,True,,"A is two years older than B who is twice as old as C. If the total of the ages of A, B, and C is 27, then how old is B? \begin{enumerate} \item[A:] 7 \item[B:] ",mcq_flagged_p1.png,7,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
28,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.9502705392332348,option b,option b,text:option b,text:option b,option,option,mcq_option,"truth_span,answer_field",False,True,,"Three partners shared the profit in a business in the ratio \(5 : 7 : 8\). They had partnered for 14 months, 8 months and 7 months respectively. What was the ra",mcq_flagged_p1.png,8,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
29,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.0,option b,option b,text:option b,text:option b,option,option,mcq_option,"truth_span,answer_field",False,True,,"Look at this series: 36, 34, 30, 28, 24, ... What number should come next? \begin{itemize} \item[A)] 20 \item[B)] 22 \item[C)] 23 \item[D)] 26 \end{itemize}",mcq_flagged_p1.png,9,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
37,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.6730116670092565,\Rightarrow x = 10.5,\Rightarrow x = \textcolor{red}{10.5}.,text:\rightarrow x = 10.5,text:\rightarrow x = 10.5,display_math,display_math,,answer_field,False,True,,"3 pumps, working 8 hours a day, can empty a tank in 2 days. How many hours a day must 4 pumps work to empty the tank in 1 day? \begin{enumerate} \item[A)] 9 \it",mcq_flagged_p2.png,1,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
42,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.0,option b,option b,text:option b,text:option b,option,option,mcq_option,"truth_span,answer_field",False,True,,"Alfred buys an old scooter for Rs. 4700 and spends Rs. 800 on its repairs. If he sells the scooter for Rs. 5800, his gain percent is: \begin{itemize} \item[A)] ",mcq_flagged_p2.png,2,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
44,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.0,option a,option a,text:option a,text:option a,option,option,mcq_option,"truth_span,answer_field",False,True,,"A man purchased a cow for Rs. 3000 and sold it the same day for Rs. 3600, allowing the buyer a credit of 2 years. If the rate of interest be 10\% per annum, the",mcq_flagged_p2.png,3,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
46,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.0,option d,option d,text:option d,text:option d,option,option,mcq_option,"truth_span,answer_field",False,True,,Tickets numbered 1 to 20 are mixed up and then a ticket is drawn at random. What is the probability that the ticket drawn has a number which is a multiple of 3 ,mcq_flagged_p2.png,4,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
48,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.5004024235381879,option b,option b,text:option b,text:option b,option,option,mcq_option,"truth_span,answer_field",False,True,,"Excluding stoppages, the speed of a bus is 54 kmph and including stoppages, it is 45 kmph. For how many minutes does the bus stop per hour? \begin{itemize} \ite",mcq_flagged_p2.png,5,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
51,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.5004024235381879,option d,option d,text:option d,text:option d,option,option,mcq_option,"truth_span,answer_field",False,True,,"If Rs. 10 be allowed as true discount on a bill of Rs. 110 due at the end of a certain time, then the discount allowed on the same sum due at the end of double ",mcq_flagged_p2.png,6,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
69,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.0,option d,option d,text:option d,text:option d,option,option,mcq_option,"truth_span,answer_field",False,True,,"A, B and C enter into a partnership in the ratio \( \frac{7}{2} : \frac{4}{3} : \frac{6}{5} \). After 4 months, A increases his share by 50\%. If the total prof",mcq_flagged_p2.png,7,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
78,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,1.3321790402101223,option b,option b,text:option b,text:option b,option,option,mcq_option,"truth_span,answer_field",False,True,,"A trader owes a merchant Rs. 10,028 due 1 year hence. The trader wants to settle the account after 3 months. If the rate of interest is 12\% per annum, how much",mcq_flagged_p2.png,8,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
79,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.0,option b,option b,text:option b,text:option b,option,option,mcq_option,"truth_span,answer_field",False,True,,The cube root of .000216 is: \begin{itemize} \item[A)] .6 \item[B)] .06 \item[C)] 77 \item[D)] 87 \end{itemize},mcq_flagged_p2.png,9,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
85,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.0,option b,option b,text:option b,text:option b,option,option,mcq_option,"truth_span,answer_field",False,True,,"In a shower, 5 cm of rain falls. The volume of water that falls on 1.5 hectares of ground is: \begin{enumerate} \item[A)] 75 cu. m \item[B)] 750 cu. m \item[C)]",mcq_flagged_p3.png,1,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
86,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.5004024235381879,option a,option a,text:option a,text:option a,option,option,mcq_option,"truth_span,answer_field",False,True,,"In the first 10 overs of a cricket game, the run rate was only 3.2. What should be the run rate in the remaining 40 overs to reach the target of 282 runs? \begi",mcq_flagged_p3.png,2,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
93,flagged_mcq_like,option_word_and_choice_list,True,True,False,False,1.3321790402101223,2520 + 20 = 2540,option d,text:2520 + 20 = 2540,text:option d,display_math,option,mcq_option,"truth_span,answer_field",False,True,,In how many different ways can the letters of the word 'CORPORATION' be arranged so that the vowels always come together? \begin{enumerate} \item 810 \item 1440,mcq_flagged_p3.png,3,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
96,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.0,option b,option b,text:option b,text:option b,option,option,mcq_option,"truth_span,answer_field",False,True,,"39 persons can repair a road in 12 days, working 5 hours a day. In how many days will 30 persons, working 6 hours a day, complete the work? \begin{enumerate}[la",mcq_flagged_p3.png,4,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
122,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.0,option c,option c,text:option c,text:option c,option,option,mcq_option,"truth_span,answer_field",False,True,,A tank is filled by three pipes with uniform flow. The first two pipes operating simultaneously fill the tank in the same time during which the tank is filled b,mcq_flagged_p3.png,5,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
128,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.0,option d,option d,text:option d,text:option d,option,option,mcq_option,"truth_span,answer_field",False,True,,"A can do a work in 15 days and B in 20 days. If they work on it together for 4 days, then the fraction of the work that is left is: \begin{enumerate} \item[A)] ",mcq_flagged_p3.png,6,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
134,flagged_mcq_like,option_word_and_choice_list,True,True,True,True,0.0,option a,option a,text:option a,text:option a,option,option,mcq_option,"truth_span,answer_field",False,True,,The banker's discount on a bill due 4 months hence at 15\% is Rs. 420. The true discount is: \begin{enumerate} \item[A)] Rs. 400 \item[B)] Rs. 360 \item[C)] Rs.,mcq_flagged_p3.png,7,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
139,flagged_mcq_like,option_word_and_choice_list,True,False,True,True,0.0,option b,option b,text:option b,text:option b,option,option,mcq_option,"truth_span,answer_field",False,True,,A batsman scored 110 runs which included 3 boundaries and 8 sixes. What percent of his total score did he make by running between the wickets? \begin{itemize} \,mcq_flagged_p3.png,8,yes,ruled as part of a block sweep: 'the rest were mcq exactly',block_sweep,option_pick
